COUNTRY,YEAR,VALUE
DNK,1981,35651
DNK,1982,15656
DNK,1983,33242
DNK,1984,21188
DNK,1985,13187
DNK,1986,23490
DNK,1987,6268
DNK,1988,618
DNK,1989,405
DNK,1990,180
DNK,1991,162
DNK,1992,129
DNK,1993,115
DNK,1994,36
DNK,1995,20
DNK,1996,119
DNK,1997,61
DNK,2000,14
DNK,2001,11
DNK,2002,32
DNK,2003,0
DNK,2004,0
DNK,2005,2
DNK,2006,27
DNK,2007,2
DNK,2008,14
DNK,2009,6
DNK,2010,5
DNK,2011,84
DNK,2012,2
DNK,2013,17
DNK,2014,27
DNK,2015,9
DNK,2016,3
DNK,2017,4
DNK,2018,8
DNK,2019,15
DNK,2020,4
ESP,1974,147793
ESP,1975,179638
ESP,1976,133060
ESP,1977,129375
ESP,1978,129712
ESP,1979,93608
ESP,1980,145322
ESP,1981,146689
ESP,1982,159562
ESP,1983,304350
ESP,1984,38914
ESP,1985,80663
ESP,1986,220109
ESP,1987,35146
ESP,1988,22701
ESP,1989,32908
ESP,1990,21650
ESP,1991,24445
ESP,1992,24460
ESP,1993,11985
ESP,1994,6796
ESP,1995,8849
ESP,1996,4964
ESP,1997,1842
ESP,1998,446
ESP,1999,246
ESP,2000,152
ESP,2002,67
ESP,2003,256
ESP,2004,26
ESP,2005,22
ESP,2006,362
ESP,2007,267
ESP,2008,297
ESP,2009,41
ESP,2010,302
ESP,2011,3802
ESP,2012,1204
ESP,2013,131
ESP,2014,154
ESP,2015,115
ESP,2016,37
ESP,2017,161
ESP,2018,225
ESP,2019,288
ESP,2020,89
EST,1990,33
EST,1991,129
EST,1992,71
EST,1993,312
EST,1994,230
EST,1995,17
EST,1996,19
EST,1997,18
EST,1998,17
EST,1999,12
EST,2000,9
EST,2001,0
EST,2002,0
EST,2003,0
EST,2004,0
EST,2005,2
EST,2006,27
EST,2007,1
EST,2008,0
EST,2009,0
EST,2010,0
EST,2011,7
EST,2012,4
EST,2013,2
EST,2014,0
EST,2015,4
EST,2016,2
EST,2017,1
EST,2018,10
EST,2019,27
EST,2020,0
,1991,7722
,1992,31611
,1993,31395
,1994,8068
,1995,4452
,1996,2517
,1997,24905
,1998,13157
,1999,434
,2000,208
,2001,195
,2002,169
,2003,112
,2004,206
,2005,5075
,2006,3362
,2007,399
,2008,150
,2009,2381
,2010,22239
,2011,4462
,2012,7560
,2013,1312
,2014,590
,2015,404
,2016,2595
,2017,9510
,2018,7683
,2019,8432
,1988,324970
,1989,283230
,1990,227772
,1991,228152
,1992,228414
,1993,133920
,1994,104248
,1995,124892
,1996,128345
,1997,136435
,1998,66271
,1999,44358
,2000,18790
,2001,20111
,2002,20004
,2003,18030
,2004,5815
,2005,1333
,2006,4154
,2007,2379
,2008,5639
,2009,3996
,2010,7665
,2011,27824
,2012,11785
,2013,7351
,2014,1645
,2015,3387
,2016,3428
,2017,7580
,2018,10404
,2019,7195
,1991,235874
,1992,260025
,1993,165315
,1994,112316
,1995,129344
,1996,130862
,1997,161340
,1998,79428
,1999,44792
,2000,18998
,2001,20306
,2002,20173
,2003,18143
,2004,6021
,2005,6408
,2006,7516
,2007,2778
,2008,5788
,2009,6377
,2010,29904
,2011,32286
,2012,19345
,2013,8663
,2014,2235
,2015,3791
,2016,6022
,2017,17090
,2018,18087
,2019,15627
FIN,1974,11353
FIN,1975,3384
FIN,1976,8706
FIN,1977,2837
FIN,1978,2325
FIN,1979,2396
FIN,1980,2147
FIN,1981,3813
FIN,1982,5402
FIN,1983,4751
FIN,1984,729
FIN,1985,614
FIN,1986,741
FIN,1987,635
FIN,1988,129
FIN,1989,1032
FIN,1990,3
FIN,1991,8
FIN,1992,5
FIN,1993,0
FIN,1994,1
FIN,1995,6
FIN,1996,0
FIN,1997,0
FIN,1998,1
FIN,2001,1
FIN,2002,0
FIN,2003,0
FIN,2004,0
FIN,2005,1
FIN,2006,0
FIN,2007,0
FIN,2008,5
FIN,2009,2
FIN,2010,5
FIN,2011,27
FIN,2013,2
FIN,2015,2
FIN,2016,4
FIN,2017,11
FIN,2018,15
FIN,2019,12
FIN,2020,4
FRA,1974,5235
FRA,1975,1813
FRA,1976,2607
FRA,1977,2106
FRA,1978,2026
FRA,1979,1603
FRA,1980,1244
FRA,1981,1132
FRA,1982,812
FRA,1983,870
FRA,1984,978
FRA,1985,399
FRA,1986,931
FRA,1991,156849
FRA,1992,109548
FRA,1993,77232
FRA,1994,44005
FRA,1995,54239
FRA,1996,66000
FRA,1997,80000
FRA,2000,10000
FRA,2002,5185
FRA,2004,4448
FRA,2005,36
FRA,2006,40
FRA,2007,39
FRA,2008,604
FRA,2009,1541
FRA,2010,5048
FRA,2011,14949
FRA,2013,272
FRA,2014,267
FRA,2015,157
FRA,2016,79
FRA,2017,519
FRA,2018,2921
FRA,2019,2637
GBR,1974,118672
GBR,1975,158619
GBR,1976,68422
GBR,1977,190393
GBR,1978,133811
GBR,1979,93371
GBR,1980,147962
GBR,1981,61779
GBR,1982,105642
GBR,1983,114948
GBR,1984,67632
GBR,1985,104774
GBR,1986,90214
GBR,1987,44850
GBR,1988,88259
GBR,1989,30160
GBR,1990,28228
GBR,1991,11727
GBR,1992,12317
GBR,1993,12018
GBR,1994,23525
GBR,1995,9017
GBR,1996,6866
GBR,1997,4844
GBR,1998,74
GBR,2000,104
GBR,2001,73
GBR,2002,314
GBR,2003,460
GBR,2004,189
GBR,2005,79
GBR,2006,764
GBR,2007,1022
GBR,2008,1445
GBR,2009,1212
GBR,2010,443
GBR,2011,1112
GBR,2012,2092
GBR,2013,1919
GBR,2014,133
GBR,2015,91
GBR,2016,558
GBR,2017,364
GBR,2018,1216
GBR,2019,1092
GBR,2020,95
GEO,1991,352
GEO,1992,115
GEO,1993,409
GEO,1994,723
GEO,1995,181
GEO,1996,304
GEO,1997,342
GEO,1998,218
GEO,1999,144
GEO,2000,50
GEO,2001,35
GEO,2002,199
GEO,2003,216
GEO,2004,6847
GEO,2005,1356
GEO,2006,334
GEO,2007,44
GEO,2008,56
GEO,2009,23
GEO,2010,22
GEO,2011,64
GEO,2012,31
GEO,2013,7872
GEO,2014,3188
GEO,2015,431
GEO,2016,14
GEO,2017,94
GEO,2018,2199
GEO,2019,3918
GEO,2020,20
GRC,1974,5357
GRC,1975,8931
GRC,1976,8027
GRC,1977,15717
GRC,1978,2169
GRC,1979,7822
GRC,1980,13464
GRC,1981,1389
GRC,1982,3417
GRC,1983,23723
GRC,1984,1200
GRC,1985,1484
GRC,1986,1050
GRC,1987,1891
GRC,1988,5100
GRC,1989,534
GRC,1990,245
GRC,1991,1371
GRC,1992,3448
GRC,1993,503
GRC,1994,163
GRC,1995,112
GRC,1996,6082
GRC,1997,136
GRC,1998,66
GRC,1999,69
GRC,2000,56
GRC,2001,12
GRC,2002,5
GRC,2004,1
GRC,2005,122
GRC,2007,2
GRC,2008,1
GRC,2009,2
GRC,2010,149
GRC,2011,40
GRC,2012,3
GRC,2013,3
GRC,2014,1
GRC,2015,1
GRC,2016,0
GRC,2017,968
GRC,2018,2291
GRC,2019,45
GRC,2020,3
HRV,1990,119
HRV,1991,117
HRV,1992,160
HRV,1993,87
HRV,1994,138
HRV,1995,697
HRV,1996,119
HRV,1997,240
HRV,1998,648
HRV,1999,31
HRV,2000,9
HRV,2001,8
HRV,2002,6
HRV,2003,19
HRV,2004,54
HRV,2005,2
HRV,2006,1
HRV,2007,0
HRV,2008,51
HRV,2009,2
HRV,2010,7
HRV,2011,12
HRV,2012,2
HRV,2013,0
HRV,2015,206
HRV,2016,4
HRV,2017,7
HRV,2018,23
HRV,2019,52
HUN,1974,46790
HUN,1975,638
HUN,1976,243
HUN,1977,130
HUN,1978,334
HUN,1979,216
HUN,1980,1198
HUN,1981,10573
HUN,1982,2521
HUN,1983,124
HUN,1984,98
HUN,1985,20
HUN,1986,17
HUN,1987,30
HUN,1988,1103
HUN,1990,29
HUN,1991,16
HUN,1992,14
HUN,1993,33
HUN,1994,11
HUN,1995,4
HUN,1996,12
HUN,1997,24
HUN,1998,23
HUN,1999,1
HUN,2000,1
HUN,2001,20
HUN,2002,0
HUN,2003,0
HUN,2004,0
HUN,2005,2
HUN,2006,1
HUN,2007,0
HUN,2008,0
HUN,2009,1
HUN,2010,0
HUN,2011,5
HUN,2012,2
HUN,2013,1
HUN,2014,0
HUN,2015,0
HUN,2016,0
HUN,2017,36
HUN,2018,14
HUN,2019,23
IRL,1974,2040
IRL,1975,2957
IRL,1976,1651
IRL,1977,1501
IRL,1978,1585
IRL,1979,1668
IRL,1980,1106
IRL,1981,1075
IRL,1982,1897
IRL,1983,6180
IRL,1984,5725
IRL,1985,9903
IRL,1986,451
IRL,1987,201
IRL,1988,936
IRL,1989,1248
IRL,1990,556
IRL,1991,135
IRL,1992,179
IRL,1993,4328
IRL,1994,1233
IRL,1995,235
IRL,1996,228
IRL,1997,185
IRL,1998,204
IRL,1999,147
IRL,2001,241
IRL,2002,243
IRL,2003,584
IRL,2004,334
IRL,2005,95
IRL,2006,87
IRL,2007,64
IRL,2008,57
IRL,2009,164
IRL,2010,443
IRL,2011,285
IRL,2012,107
IRL,2013,51
IRL,2014,33
IRL,2015,4
IRL,2016,43
IRL,2017,25
IRL,2018,76
IRL,2019,65
IRL,2020,15
ISL,1974,37
ISL,1975,11
ISL,1976,36
ISL,1977,2994
ISL,1978,240
ISL,1979,32
ISL,1980,13
ISL,1981,24
ISL,1982,14
ISL,1983,39
ISL,1984,162
ISL,1985,374
ISL,1986,132
ISL,1987,14
ISL,1988,11
ISL,1989,23
ISL,1990,14
ISL,1991,10
ISL,1992,8
ISL,1993,8
ISL,1994,7
ISL,1995,2
ISL,1996,1
ISL,1997,1
ISL,2000,0
ISL,2001,0
ISL,2003,0
ISL,2004,0
ISL,2005,0
ISL,2006,0
ISL,2007,0
ISL,2008,0
ISL,2009,0
ISL,2010,0
ISL,2011,0
ISL,2012,0
ISL,2013,0
ISL,2014,0
ISL,2015,0
ISL,2016,1
ISL,2017,3
ISL,2018,0
ISL,2019,9
ISR,1974,871
ISR,1975,4795
ISR,1976,73
ISR,1977,89
ISR,1978,400
ISR,1979,553
ISR,1980,215
ISR,1981,228
ISR,1982,7864
ISR,1983,129
ISR,1984,137
ISR,1985,3005
