COUNTRY,YEAR,VALUE
CZE,1990,23.35
CZE,1991,8.14
CZE,1992,4.03
CZE,1993,0.14
CZE,1994,0.09
CZE,1995,0.05
CZE,1996,0.1
CZE,1997,0.14
CZE,1998,0.18
CZE,1999,0.02
CZE,2000,0.09
CZE,2001,0.06
CZE,2002,0.04
CZE,2003,0.29
CZE,2004,0.17
CZE,2005,0
CZE,2006,0.07
CZE,2007,0.02
CZE,2008,0.02
CZE,2009,0.05
CZE,2010,0
CZE,2011,0.16
CZE,2012,0.21
CZE,2013,0.14
CZE,2014,2.11
CZE,2015,0.09
CZE,2016,0.07
CZE,2017,1.34
CZE,2018,1.95
CZE,2019,5.55
DNK,1974,1081.82
DNK,1975,280.29
DNK,1976,1138.59
DNK,1977,1027.99
DNK,1978,364.27
DNK,1979,1299.5
DNK,1980,551.42
DNK,1981,696.1
DNK,1982,305.91
DNK,1983,649.98
DNK,1984,414.51
DNK,1985,257.88
DNK,1986,458.74
DNK,1987,122.25
DNK,1988,12.05
DNK,1989,7.89
DNK,1990,3.5
DNK,1991,3.14
DNK,1992,2.5
DNK,1993,2.22
DNK,1994,0.69
DNK,1995,0.38
DNK,1996,2.26
DNK,1997,1.15
DNK,2000,0.26
DNK,2001,0.21
DNK,2002,0.6
DNK,2003,0
DNK,2004,0
DNK,2005,0.04
DNK,2006,0.5
DNK,2007,0.04
DNK,2008,0.26
DNK,2009,0.11
DNK,2010,0.09
DNK,2011,1.51
DNK,2012,0.04
DNK,2013,0.3
DNK,2014,0.48
DNK,2015,0.16
DNK,2016,0.05
DNK,2017,0.07
DNK,2018,0.14
DNK,2019,0.26
DNK,2020,0.07
DEU,2001,7.32
DEU,2002,5.65
DEU,2003,0.94
DEU,2004,0.15
DEU,2005,0.94
DEU,2006,2.8
DEU,2007,0.69
DEU,2008,1.12
DEU,2009,0.7
DEU,2010,0.95
DEU,2011,1.97
DEU,2012,0.2
DEU,2013,2.2
DEU,2014,0.55
DEU,2015,3.05
DEU,2016,0.4
DEU,2017,1.15
DEU,2018,0.67
DEU,2019,0.64
,1990,57.29
,1991,6.89
,1992,28.41
,1993,28.24
,1994,7.26
,1995,4.01
,1996,2.28
,1997,22.54
,1998,11.93
,1999,0.4
,2000,0.19
,2001,0.18
,2002,0.16
,2003,0.1
,2004,0.19
,2005,4.71
,2006,3.12
,2007,0.37
,2008,0.14
,2009,2.22
,2010,20.74
,2011,4.18
,2012,7.1
,2013,1.22
,2014,0.56
,2015,0.39
,2016,2.49
,2017,8.87
,2018,7.17
,2019,7.87
,2020,3.09
,1974,124.49
,1975,138.78
,1976,113.9
,1977,142.49
,1978,118.18
,1979,99.32
,1980,118.54
,1981,106.39
,1982,103.72
,1983,159.76
,1984,74.69
,1985,94.42
,1986,114.18
,1987,54.03
,1988,90.73
,1989,78.99
,1990,63.64
,1991,63.57
,1992,63.33
,1993,37.34
,1994,29.08
,1995,34.43
,1996,35.14
,1997,37.09
,1998,18.18
,2000,5.13
,2001,5.33
,2002,5.27
,2003,4.72
,2004,1.51
,2005,0.34
,2006,1.07
,2007,0.61
,2008,1.43
,2009,1.01
,2010,1.93
,2011,7.01
,2012,2.96
,2013,1.84
,2014,0.41
,2015,0.84
,2016,0.85
,2017,1.88
,2018,2.57
,2019,1.78
,2020,1.01
,1974,159.12
,1975,168.78
,1976,144.46
,1977,147.52
,1978,134.58
,1979,98.03
,1980,101.92
,1981,98.82
,1982,95.98
,1983,126.81
,1984,69.97
,1985,81.81
,1986,97.34
,1987,45.05
,1988,70.9
,1989,63.48
,1990,62.15
,1991,50.3
,1992,55.21
,1993,35.23
,1994,24.04
,1995,27.43
,1996,27.61
,1997,33.77
,1998,16.75
,1999,9.44
,2000,4.01
,2001,4.17
,2002,4.14
,2003,3.7
,2004,1.22
,2005,1.3
,2006,1.51
,2007,0.56
,2008,1.16
,2009,1.27
,2010,5.94
,2011,6.41
,2012,3.83
,2013,1.71
,2014,0.44
,2015,0.75
,2016,1.19
,2017,3.35
,2018,3.54
,2019,3.05
,2020,1.44
EST,1990,2.1
EST,1991,8.26
EST,1992,4.63
EST,1993,20.88
EST,1994,15.73
EST,1995,1.18
EST,1996,1.34
EST,1997,1.29
EST,1998,1.23
EST,1999,0.87
EST,2000,0.64
EST,2001,0
EST,2002,0
EST,2003,0
EST,2004,0
EST,2005,0.15
EST,2006,2
EST,2007,0.07
EST,2008,0
EST,2009,0
EST,2010,0
EST,2011,0.53
EST,2012,0.3
EST,2013,0.15
EST,2014,0
EST,2015,0.3
EST,2016,0.15
EST,2017,0.08
EST,2018,0.76
EST,2019,2.04
EST,2020,0
FIN,1974,242.04
FIN,1975,71.82
FIN,1976,184.23
FIN,1977,59.87
FIN,1978,48.92
FIN,1979,50.29
FIN,1980,44.92
FIN,1981,79.44
FIN,1982,111.91
FIN,1983,97.84
FIN,1984,14.93
FIN,1985,12.52
FIN,1986,15.07
FIN,1987,12.87
FIN,1988,2.61
FIN,1989,20.79
FIN,1990,0.06
FIN,1991,0.16
FIN,1992,0.1
FIN,1993,0
FIN,1994,0.02
FIN,1995,0.12
FIN,1996,0
FIN,1997,0
FIN,1998,0.02
FIN,2001,0.02
FIN,2002,0
FIN,2003,0
FIN,2004,0
FIN,2005,0.02
FIN,2006,0
FIN,2007,0
FIN,2008,0.09
FIN,2009,0.04
FIN,2010,0.09
FIN,2011,0.5
FIN,2013,0.04
FIN,2015,0.04
FIN,2016,0.07
FIN,2017,0.2
FIN,2018,0.27
FIN,2019,0.22
FIN,2020,0.07
FRA,1974,9.97
FRA,1975,3.44
FRA,1976,4.93
FRA,1977,3.97
FRA,1978,3.8
FRA,1979,3
FRA,1980,2.32
FRA,1981,2.1
FRA,1982,1.49
FRA,1983,1.59
FRA,1984,1.78
FRA,1985,0.72
FRA,1986,1.68
FRA,1991,274.91
FRA,1992,190.94
FRA,1993,133.96
FRA,1994,76
FRA,1995,93.29
FRA,1996,113.06
FRA,1997,136.5
FRA,2000,16.98
FRA,2002,8.69
FRA,2004,7.33
FRA,2005,0.06
FRA,2006,0.06
FRA,2007,0.06
FRA,2008,0.97
FRA,2009,2.46
FRA,2010,8.02
FRA,2011,23.64
FRA,2013,0.43
FRA,2014,0.42
FRA,2015,0.24
FRA,2016,0.12
FRA,2017,0.8
FRA,2018,4.52
FRA,2019,4.08
MKD,1991,9.45
MKD,1992,9.35
MKD,1993,129.1
MKD,1994,11.77
MKD,1995,11.04
MKD,1996,53.25
MKD,1997,18.23
MKD,1999,2.63
MKD,2000,1.78
MKD,2001,1.33
MKD,2002,0.94
MKD,2003,0.89
MKD,2004,0.44
MKD,2005,0.25
MKD,2006,0.15
MKD,2007,0.05
MKD,2008,1.32
MKD,2009,0.24
MKD,2010,10.56
MKD,2011,34.05
MKD,2012,0.34
MKD,2013,0.19
MKD,2014,5.59
MKD,2015,0.05
MKD,2016,0
MKD,2017,0.91
MKD,2018,3.08
MKD,2019,64.25
GEO,1991,6.45
GEO,1992,2.13
GEO,1993,7.96
GEO,1994,14.87
GEO,1995,3.82
GEO,1996,6.59
GEO,1997,7.55
GEO,1998,4.86
GEO,1999,3.23
GEO,2000,1.13
GEO,2001,0.8
GEO,2002,4.57
GEO,2003,4.99
GEO,2004,158.56
GEO,2005,31.09
GEO,2006,7.59
GEO,2007,1
GEO,2008,1.28
GEO,2009,0.52
GEO,2010,0.49
GEO,2011,1.43
GEO,2012,0.69
GEO,2013,175.43
GEO,2014,79.01
GEO,2015,11.56
GEO,2016,0.38
GEO,2017,2.52
GEO,2018,59.01
GEO,2019,105.32
GEO,2020,0.54
GRC,1974,59.77
GRC,1975,98.72
GRC,1976,87.56
GRC,1977,169.57
GRC,1978,23.17
GRC,1979,82.78
GRC,1980,139.63
GRC,1981,14.28
GRC,1982,34.9
GRC,1983,240.92
GRC,1984,12.13
GRC,1985,14.94
GRC,1986,10.54
GRC,1987,18.91
GRC,1988,50.81
GRC,1989,5.29
GRC,1990,2.41
GRC,1991,13.37
GRC,1992,33.25
GRC,1993,4.81
GRC,1994,1.54
GRC,1995,1.05
GRC,1996,56.79
GRC,1997,1.26
GRC,1998,0.61
GRC,1999,0.63
GRC,2000,0.51
GRC,2001,0.11
GRC,2002,0.05
GRC,2004,0.01
GRC,2005,1.1
GRC,2007,0.02
GRC,2008,0.01
GRC,2009,0.02
GRC,2010,1.32
GRC,2011,0.35
GRC,2012,0.03
GRC,2013,0.03
GRC,2014,0.01
GRC,2015,0.01
GRC,2016,0
GRC,2017,9
GRC,2018,21.35
GRC,2019,0.42
GRC,2020,0.03
HUN,1974,446.52
HUN,1975,6.05
HUN,1976,2.29
HUN,1977,1.22
HUN,1978,3.13
HUN,1979,2.02
HUN,1980,11.18
HUN,1981,98.7
HUN,1982,23.55
HUN,1983,1.16
HUN,1984,0.92
HUN,1985,0.19
HUN,1986,0.16
HUN,1987,0.28
HUN,1988,10.41
HUN,1990,0.28
HUN,1991,0.15
HUN,1992,0.14
HUN,1993,0.32
HUN,1994,0.11
HUN,1995,0.04
HUN,1996,0.12
HUN,1997,0.23
HUN,1998,0.22
HUN,1999,0.01
HUN,2000,0.01
HUN,2001,0.2
HUN,2002,0
HUN,2003,0
HUN,2004,0
HUN,2005,0.02
HUN,2006,0.01
HUN,2007,0
HUN,2008,0
HUN,2009,0.01
HUN,2010,0
HUN,2011,0.05
HUN,2012,0.02
HUN,2013,0.01
HUN,2014,0
HUN,2015,0
HUN,2016,0
HUN,2017,0.37
HUN,2018,0.14
HUN,2019,0.24
ISL,1974,17.19
ISL,1975,5.05
ISL,1976,16.35
ISL,1977,1349.26
ISL,1978,107.33
ISL,1979,14.18
ISL,1980,5.7
ISL,1981,10.4
ISL,1982,5.98
ISL,1983,16.45
ISL,1984,67.64
ISL,1985,154.93
ISL,1986,54.27
ISL,1987,5.69
ISL,1988,4.4
ISL,1989,9.1
ISL,1990,5.49
ISL,1991,3.88
ISL,1992,3.06
ISL,1993,3.03
ISL,1994,2.63
ISL,1995,0.75
ISL,1996,0.37
ISL,1997,0.37
ISL,2000,0
ISL,2001,0
ISL,2003,0
ISL,2004,0
ISL,2005,0
ISL,2006,0
ISL,2007,0
ISL,2008,0
ISL,2009,0
ISL,2010,0
ISL,2011,0
ISL,2012,0
ISL,2013,0
ISL,2014,0
ISL,2015,0
ISL,2016,0.3
ISL,2017,0.87
ISL,2018,0
ISL,2019,2.5
IRL,1974,66.03
IRL,1975,94.55
IRL,1976,51.15
IRL,1977,45.88
IRL,1978,47.83
IRL,1979,49.52
IRL,1980,32.52
IRL,1981,31.22
IRL,1982,54.46
IRL,1983,176.17
IRL,1984,162.23
IRL,1985,279.75
IRL,1986,12.74
IRL,1987,5.67
IRL,1988,26.46
IRL,1989,35.5
IRL,1990,15.87
IRL,1991,3.83
IRL,1992,5.04
IRL,1993,121.17
IRL,1994,34.38
IRL,1995,6.53
IRL,1996,6.29
IRL,1997,5.05
IRL,1998,5.51
IRL,1999,3.93
IRL,2001,6.26
IRL,2002,6.2
IRL,2003,14.68
IRL,2004,8.26
IRL,2005,2.3
IRL,2006,2.05
IRL,2007,1.47
IRL,2008,1.29
IRL,2009,3.68
IRL,2010,9.93
IRL,2011,6.23
IRL,2012,2.33
IRL,2013,1.11
IRL,2014,0.71
IRL,2015,0.09
IRL,2016,0.91
IRL,2017,0.52
IRL,2018,1.56
IRL,2019,1.32
IRL,2020,0.3
ISR,1974,30.67
ISR,1975,163.58
ISR,1976,2.07
ISR,1977,2.46
ISR,1978,10.83
ISR,1979,14.6
ISR,1980,5.54
ISR,1981,5.77
ISR,1982,195.3
ISR,1983,3.19
ISR,1984,3.29
ISR,1985,70.99
ISR,1986,45.38
ISR,1987,10.03
ISR,1988,4.37
ISR,1989,0.64
ISR,1990,4.94
ISR,1991,20.04
ISR,1992,1.29
ISR,1993,2.68
ISR,1994,28.8
ISR,1995,0.4
ISR,1996,0.33
ISR,1997,0.21
ISR,1998,0.13
ISR,1999,0.23
ISR,2000,0.57
ISR,2001,0.3
ISR,2002,0.03
ISR,2003,1.85
ISR,2004,1.7
ISR,2005,0.03
ISR,2006,0.13
ISR,2007,7.51
ISR,2008,12.74
ISR,2009,0.07
ISR,2010,0.3
ISR,2011,0.9
ISR,2012,2.67
ISR,2013,0.62
ISR,2014,0.08
ISR,2015,0.99
ISR,2016,0.1
ISR,2017,0.48
ISR,2018,35.77
ISR,2019,10.57
ISR,2020,0.07
ITA,1974,44.6
ITA,1975,93.2
ITA,1976,98.8
ITA,1977,75.59
ITA,1978,118.77
ITA,1979,40.89
ITA,1980,48.1
ITA,1981,124.55
ITA,1982,32.53
ITA,1983,46.4
ITA,1984,135.34
ITA,1985,131.32
ITA,1986,37.22
ITA,1987,35.97
ITA,1988,160.46
ITA,1989,50.77
ITA,1990,9.06
ITA,1991,40.97
ITA,1992,114.51
ITA,1993,29.72
ITA,1994,10.83
ITA,1995,65.32
ITA,1996,57.34
ITA,1997,72.53
ITA,1998,7.16
ITA,1999,5.11
ITA,2000,2.56
ITA,2002,16.45
ITA,2003,19.06
ITA,2004,1.03
ITA,2005,0.23
ITA,2006,0.74
ITA,2007,0.54
ITA,2008,2.7
ITA,2009,0.58
ITA,2010,0.62
ITA,2011,8.74
ITA,2012,0.63
ITA,2015,0.26
ITA,2017,6.68
ITA,2018,4.44
ITA,2019,2.69
ITA,2020,0.17
KAZ,1990,1.64
KAZ,1991,8.48
KAZ,1992,3.81
KAZ,1993,19.26
KAZ,1994,10.58
KAZ,1995,1.72
