Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Cambodia,Measles,"per 1,000,000 total population",22.7,41.5,0.2,0.6,3.6,0,0,0,1,49.7,80.8,339.1,303.3,28.8,13.9,19.9,26.9,50.8,107.7,303.2,"1,006.7","1,163.3",171.8,338.6,256.2,191.3,91.7,126.6,286.7,235.3,275.5,"1,065",584.9,"1,132.1","2,162.9","5,775.5","5,146.3","1,446","8,324.7","6,040.7","4,816.4"
Cameroon,Measles,"per 1,000,000 total population",56.8,108.6,32.3,29,14.1,77.6,36.6,34.4,28.3,24.1,11.8,12.7,25.7,5.3,10.8,34.1,20.7,53.5,88.5,"1,502.6",943,720.9,728.8,523.1,842.5,181.1,117,846.7,"2,195.4","1,204.7","1,795.4","2,128","2,095.4","1,551.9","3,072.1","4,684.6","3,953.7","6,228.9","3,695.5","1,186.5",
Canada,Measles,"per 1,000,000 total population",0,3,0.8,1.2,0.3,5.4,11.7,2.4,0.3,23.2,2.9,0.4,1.9,3.1,0.4,0.2,0.2,0.5,0.2,1.1,6.7,1,0.4,19.5,11.1,81,18.1,7.1,97.1,221.5,37.5,410.1,22.7,90.2,573,109.4,160.3,37.1,42.7,93.5,567.8
Cayman Islands,Measles,"per 1,000,000 total population",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Measles,"per 1,000,000 total population",710.8,714.4,48,174.3,80.9,33.4,47,134,31.8,153.7,0.5,2.5,2.8,11.7,0.7,116.6,311.4,168,246.7,762.2,880.9,168.6,42,57.2,75,279.9,,556.1,"1,021.2","1,265.9",454.3,120.6,704.5,811.5,687.1,962.2,"2,580.3",649.4,"1,097.5","1,686.9","3,764.7"
Chad,Measles,"per 1,000,000 total population",132.1,118,94.1,0.6,8.1,29.6,93.3,17.1,9.4,699.8,16.2,14.3,5.6,40.8,152.4,0.2,"1,060.5","1,685.6",806.8,"2,870.2",424.4,852.8,"1,592.1","1,392.2","3,332.2","3,131.5","1,429.9","3,183.2","2,994.5","3,440.3","1,211.8","1,290.1",652.1,669.3,667,"1,261.9","1,396.1","1,067.8",259.2,7.8,
Chile,Measles,"per 1,000,000 total population",0.1,0.6,1.3,0,0,0.5,0,0,0,0.3,0,0.1,0,0,0,0,0,0.1,0,0,0,2,0.4,3.9,0,0,0,0.1,0.1,155.5,147.5,996.1,"3,508.7",207.5,"1,009.4","1,395.2",396.2,567,803.7,563.5,336.6
China,Measles,"per 1,000,000 total population",0.6,2.1,2.8,4.2,17.6,30.1,37.6,19.3,4.5,7.2,27.9,38.5,97.1,81,74.4,93.3,53.3,54.6,44.6,68.5,55.1,48.3,41.7,63.1,54.7,42.9,62,96.7,116.1,103.5,72.8,73.4,85.3,94,181.5,388.8,585.6,749.7,868.6,996.8,"1,122.2"
"China, Hong Kong SAR",Measles,"per 1,000,000 total population",0.1,12.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Macao SAR",Measles,"per 1,000,000 total population",0,57.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Measles,"per 1,000,000 total population",0,4.8,4.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,3.4,0.1,0,1.1,1.6,1.8,4.3,11.3,14.7,259.5,231.7,307.8,378.2,388.1,465.1,661,169.4,186,404,456.2,330,713.3,342.8
Comoros,Measles,"per 1,000,000 total population",0,76.4,0,0,0,0,0,0,1.4,4.2,0,1.5,0,0,135.7,"1,491.1",0,0,0,,,0,0,0,0,0,4.3,0,0,0,"5,656.1",425.4,0,0,0,0,0,0,0,0,"5,850.7"
Congo,Measles,"per 1,000,000 total population",6.7,12.3,5.3,187.5,55.6,279.9,15,26.8,57.6,71.7,0.9,0.2,0.5,21.7,33.6,40.3,"1,003.9","1,089.5",842.2,668.8,536.5,103,59,441.9,"1,398.9",879.4,85.9,270.7,"1,727.7","1,668.7","1,530.9",217.2,203.5,654,"3,041.1","3,699.5","9,321.5","8,576.4","6,860.4","5,281.2","6,688.7"
Cook Islands,Measles,"per 1,000,000 total population",,0,0,,,,,,0,0,0,0,0,52.6,314.2,0,0,913.5,0,0,111.5,0,491.5,"10,400.5",0,366.4,0,158.4,481.9,"3,311.8","1,978.6","38,333.5",838.1,899.2,282.5,"2,842.2",57.2,230.6,810.6,"3,293.7","20,720.4"
Costa Rica,Measles,"per 1,000,000 total population",0,2,0,0,0,0,0.2,0,0,0,0,0,0,0,,0.2,0,0.2,0,0,0,5.9,7.1,7,6.6,9.9,0,81,718.4,"1,966.2",24.4,10.9,120.9,"1,387.9","1,613.4",0.4,4.1,15,66.2,69.2,418.4
Croatia,Measles,"per 1,000,000 total population",0,12.6,5.5,1.7,1,48.7,,0,0.5,2.8,1.6,0.5,11.7,0,0.2,0.5,12.3,4.3,1.4,1.8,2,7,144.3,53,26,151,29.6,18.5,33.8,24.6,24.9,,,,,,,,,,
